DATE TIME NUM_FILES SIZE_FILES TIME_CREATE_BUCKET TIME_OBJECTS_UPLOAD TIME_OBJECTS_LIST TIME_OBJECTS_DOWNLOAD TIME_ERASE_OBJECTS TIME_ERASE_BUCKET TIME_SUM BANDWIDTH_OBJECTS_UPLOAD BANDWIDTH_OBJECTS_DOWNLOAD
2026-08-16 19:46:15 5 1048576 0.937 1.406 1.945 1.886 3.288 1.682 11.144 29.831 22.239
2026-08-16 19:47:04 5 1048576 9.572 2.630 2.771 2.705 4.023 2.810 24.511 15.947 15.505
2026-08-16 19:47:30 5 1048576 2.070 4.479 1.293 1.396 2.514 1.415 13.167 9.364 30.045
2026-08-16 19:48:01 5 1048576 1.951 4.949 1.649 3.745 4.690 1.800 18.784 8.475 11.199
2026-08-16 19:48:33 5 1048576 5.660 3.750 1.577 3.655 4.841 2.425 21.908 11.184 11.475
2026-08-16 19:49:04 5 1048576 4.909 3.887 1.299 3.348 4.780 1.946 20.169 10.790 12.527
2026-08-16 20:36:00 5 1048576 0.928 6.645 1.135 3.739 3.997 1.886 18.330 6.311 11.217
2026-08-16 20:36:32 5 1048576 5.214 3.348 1.362 3.335 5.143 2.935 21.337 12.527 12.576
2026-08-16 20:37:01 5 1048576 1.901 4.086 1.143 3.346 3.344 1.869 15.689 10.265 12.535
